Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2000-01-03,3.997767925262451,45.88031005859375,40.1875,24.3125,54.03125,41.8125,29.47168731689453,,88.3125,65.1875,116.0,43.5,46.09375,48.58333206176758,28.1875,39.625,47.1875,67.625,58.28125,6.015625,31.875,53.59375,33.0,6.71875,31.25,,53.90315628051758,28.5625,66.8125,39.15625
2000-01-04,3.6607143878936768,44.147945404052734,40.125,24.0,51.0,41.8125,31.198062896728516,,82.75,61.75,112.0625,41.46875,44.40625,47.25,28.21875,38.8125,45.3125,65.25,56.3125,5.6875,30.6875,52.5625,32.5625,6.6328125,29.96875,,52.16072082519531,27.5,64.3125,38.40625
2000-01-05,3.7142856121063232,42.962642669677734,42.625,24.5625,50.84375,42.5625,32.49284362792969,,78.875,63.0,116.0,41.8125,44.875,46.95833206176758,28.46875,39.4375,46.625,67.8125,56.90625,6.015625,31.1875,51.5625,32.3125,6.6171875,29.375,,53.90315628051758,27.8125,63.0,40.5
2000-01-06,3.392857074737549,43.83794021606445,43.0625,25.8125,50.0,44.375,31.198062896728516,,82.25,60.0,114.0,39.375,46.28125,47.625,28.5,38.875,50.375,68.375,55.0,5.984375,32.3125,53.9375,32.9375,6.859375,30.78125,,53.284873962402344,27.0,63.6875,42.59375
2000-01-07,3.5535714626312256,44.47618103027344,44.3125,26.65625,52.9375,45.15625,30.70481300354004,,82.5625,63.5,113.5,41.0,48.25,48.5,30.375,39.875,51.375,74.9375,55.71875,5.984375,34.5,58.25,34.25,7.6640625,32.0,,52.89141845703125,27.6875,68.5,42.46875
2000-01-10,3.4910714626312256,45.09618377685547,43.6875,25.78125,54.90625,43.9375,35.39068603515625,,84.375,63.1875,118.0,42.875,47.03125,47.66666793823242,29.40625,40.0625,51.125,72.75,56.125,6.0859375,34.4375,57.96875,33.625,7.53125,32.3125,,52.610382080078125,28.5,67.25,41.875
2000-01-11,3.3125,45.51559829711914,42.875,25.375,53.25,43.53125,35.760623931884766,,84.8125,61.5625,119.0,44.84375,47.1875,46.54166793823242,30.40625,41.0,50.25,73.0,54.6875,6.390625,34.0,58.875,33.25,7.546875,31.5625,,52.11856460571289,29.625,66.25,42.0
2000-01-12,3.1138393878936768,45.27853775024414,43.0625,25.8125,51.90625,43.375,33.23271942138672,,84.375,61.0625,119.5,45.625,46.75,46.83333206176758,30.75,42.75,50.375,74.4375,52.90625,6.171875,35.125,58.5,33.3125,7.4765625,32.28125,,50.36207580566406,30.25,65.0625,41.75
2000-01-13,3.455357074737549,45.51559829711914,42.375,26.09375,53.09375,43.78125,34.342533111572266,,84.5,62.125,118.25,45.53125,46.6875,47.54166793823242,30.28125,42.3125,50.375,74.75,53.90625,6.25,37.0,57.5,34.0,7.7109375,32.625,,49.96862030029297,30.1875,65.125,42.71875
2000-01-14,3.5870535373687744,46.53678512573242,44.0,25.96875,53.78125,43.5,33.109405517578125,,85.625,61.9375,119.625,51.53125,46.84375,49.25,30.53125,42.609375,49.65625,74.125,56.125,6.4140625,37.0,58.5,34.0,7.703125,31.90625,,50.64311218261719,29.4375,64.5,41.875
